Município;IBGE - Código;IBGE - Gentílico;IBGE - Prefeito [2025];IBGE - Área Territorial - km² [2025];IBGE - População no último censo - pessoas [2022];IBGE - Densidade demográfica - hab/km² [2022];IBGE - População estimada - pessoas [2026];IBGE - Escolarização 6 a 14 anos - % [2022];IBGE - IDHM [2010];IBGE - Mortalidade infantil - óbitos por mil nascidos vivos [2025];IBGE - Total de receitas brutas realizadas - R$ [2025];IBGE - Total de despesas brutas empenhadas - R$ [2025];IBGE - PIB per capita - R$ [2023];TAXA LESÃO CORPORAL;TAXA AMEAÇA;Possui Delegacia da Mulher?;Possui CAPS?;Quantidade de CAPS;Modalidades de CAPS;Regional de Saúde;Macrorregional de Saúde;LESFEM - Feminicídios consumados 2025;LESFEM - Tentativas de feminicídio 2025;LESFEM - Total de registros 2025;LESFEM - Registros fonte Imprensa 2025;LESFEM - Registros fonte SINESP 2025;SENASP - Feminicídios consumados 2025;SENASP - Tentativas de feminicídio 2025;SENASP - Total vítimas feminicídio/tentativa 2025
MAMBORE;4114005;mamborense;SEBASTIÃO ANTONIO MARTINEZ;787,33;13452;17,07;13519;99,21;0,719;19,35;129946908,7;111834968,4;63873,13;207,57;257,39;Não;Sim;1;CAPS I;11ª Regional de Saúde - Campo Mourão;Noroeste;0;0;0;0;0;0;0;0
IVAI;4111407;ivaiense;ORLI ANTONIO CAMARGO DE CRISTO;600,209;13229;21,76;13501;99,6;0,651;14,78;98874422,65;88251967,54;53751,06;397,27;317,81;Não;Não;0;;3ª Regional de Saúde - Ponta Grossa;Leste;0;0;0;0;0;0;0;0
CAMPO DO TENENTE;4104105;tenentiano;WEVERTON WILLIAN VIZENTIN;303,956;7508;24,66;7717;99,1;0,686;-;64771317,51;59910355,03;40846,17;461,17;221,36;Não;Não;0;;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
SAUDADE DO IGUACU;4126272;saudadense;ROGERIO GALLINA;152,084;6108;40,16;6479;98,52;0,699;24,39;80601644,58;61972630,19;187201,61;456,53;266,31;Não;Não;0;;7ª Regional de Saúde - Pato Branco;Oeste;0;0;0;0;0;0;0;0
SANTA MARIANA;4123907;santa-marianense;JOSE MARCELO PIOVAN GUIMARAES;425,703;11066;25,9;10856;96,01;0,7;19,05;88556999,99;80430211,08;44999,22;163,41;299,58;Não;Não;0;;18ª Regional de Saúde - Cornélio Procópio;Norte;0;1;1;1;0;0;1;1
PLANALTO;4119806;planaltense;LUIZ CARLOS BONI;347,974;14374;41,51;14766;99,7;0,706;7,3;128642301,6;104000857,5;36597,18;159,53;152,88;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;0;0;0;0;0;0;0
PIEN;4119103;pienense;MAICON GROSSKOPF;256,501;13655;53,59;14557;98,6;0,694;17,24;126227512,2;127787837,1;62484,45;285,75;214,31;Não;Não;0;;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;1;0;1;1;0;1;0;1
MISSAL;4116059;missalense;ADILTO LUIS FERRARI;326,214;11064;34,11;11459;100;0,711;7,35;137432437,7;127322825,2;44894,11;150,90;188,62;Não;Não;0;;9ª Regional de Saúde - Foz do Iguaçu;Oeste;0;1;1;1;0;0;1;1
MAUA DA SERRA;4115754;mauaense da serra;GIVANILDO LOPES;107,535;9383;86,62;9740;99,24;0,652;24,24;87078307,56;73127248,08;56188,01;512,38;362,94;Não;Não;0;;16ª Regional de Saúde - Apucarana;Norte;0;0;0;0;0;0;0;0
CANDIDO DE ABREU;4104402;cândido-abreuense;RENAN MENCK ROMANICHEN;1506,15;15244;10,09;14995;98,78;0,629;-;106441109,5;96026187,7;31175,22;371,69;433,64;Não;Não;0;;22ª Regional de Saúde - Ivaiporã;Norte;0;0;0;0;0;0;0;0
ARARUNA;4101705;ararunense;GUSTAVO FRANÇA DOS SANTOS;492,521;14485;29,37;14958;99,36;0,704;12,05;104709799,2;95544220,6;43548,25;663,35;608,07;Não;Não;0;;11ª Regional de Saúde - Campo Mourão;Noroeste;0;0;0;0;0;0;0;0
TEIXEIRA SOARES;4127007;teixeira-soarense;IVANOR LUIZ MULLER;902,334;9547;10,57;9495;99,55;0,671;25,42;98972642,71;92159878,44;66312,25;210,22;265,06;Não;Não;0;;4ª Regional de Saúde - Irati;Leste;0;0;0;0;0;0;0;0
ITAUNA DO SUL;4111308;itaunense;GILSON JOSÉ DE GOIS;127,002;3572;27,72;3606;100;0,656;-;53768606,19;42329418;42504,16;380,92;198,74;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
FRANCISCO ALVES;4108320;alvense;ALIRIO JOSÉ MISTURA;320,119;8116;25,21;8677;99,34;0,669;13,16;79386626,8;67909180,18;31307,33;263,64;252,18;Não;Não;0;;12ª Regional de Saúde - Umuarama;Noroeste;0;0;0;0;0;0;0;0
TOMAZINA;4127809;tomazinense;CEZAR BUENO DE MELO;591,939;8426;14,25;8500;98,63;0,699;-;69864573,27;69235266,6;41593,23;804,39;548,45;Não;Não;0;;19ª Regional de Saúde - Jacarezinho;Norte;0;0;0;0;0;0;0;0
TAMARANA;4126678;tamaranense;LUZIA HARUE SUZUKAWA;473,283;10707;22,68;10444;98,02;0,621;28,25;93556697,27;81878038,14;44325,79;317,83;288,93;Não;Não;0;;17ª Regional de Saúde - Londrina;Norte;0;0;0;0;0;0;0;0
RIO BONITO DO IGUACU;4122156;rio bonitense;SEZAR AUGUSTO BOVINO;684,695;13929;20,44;14345;99,56;0,629;22,99;160388262,8;103575276,6;36921,86;275,90;326,06;Não;Não;0;;5ª Regional de Saúde - Guarapuava;Leste;1;0;1;1;0;1;0;1
PRANCHITA;4120358;pranchitense / pranchitano;RONIMAR ELEANDRO SARTOR;226,089;5737;25,37;5838;99,54;0,752;-;69649425,04;59303645,09;66007,87;485,01;264,55;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;0;0;0;0;0;0;0
NOVA PRATA DO IGUACU;4117255;pratense;ELIZETE CAVAZIN;352,055;12699;36,02;13482;99,79;0,716;7,58;127624807,5;128771421,7;44107,75;156,09;234,14;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;1;0;1;1;0;1;0;1
NOVA OLIMPIA;4117206;novaolimpiense;LUIZ LAZARO SORVOS;136,347;5833;42,78;6002;100;0,71;13,51;63007625,23;57852699,07;22756,95;203,89;139,02;Não;Não;0;;12ª Regional de Saúde - Umuarama;Noroeste;0;0;0;0;0;0;0;0
MANOEL RIBAS;4114500;manoel-ribense;JOSE CARLOS DA SILVA CORONA;571,451;14240;24,93;14740;99,95;0,716;21,19;103181278,4;92638686,84;46081,2;154,25;147,23;Não;Não;0;;22ª Regional de Saúde - Ivaiporã;Norte;0;0;0;0;0;0;0;0
CERRO AZUL;4105201;cerro-azulense;EDSON CORDEIRO DO NASCIMENTO;1353,255;16134;12,03;15681;98,85;0,573;-;124590493,6;116710858,5;23181,48;152,37;159,29;Não;Não;0;;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
CANDOI;4104428;candoianos;ALDOINO GOLDONI FILHO;1509,719;14973;9,9;15173;99,65;0,635;5,1;135332592,5;120127847,8;60204,94;446,70;345,18;Não;Não;0;;5ª Regional de Saúde - Guarapuava;Leste;1;1;2;2;0;1;1;2
ASSAI;4101903;assaiense;MICHEL ANGELO BOMTEMPO;440,347;13797;31,33;13320;97,56;0,728;20,98;114166350;98687637,44;46183,5;139,50;253,63;Não;Não;0;;17ª Regional de Saúde - Londrina;Norte;0;0;0;0;0;0;0;0
ADRIANOPOLIS;4100202;adrianopolitano ou adrianopolense;VANDIR DE OLIVEIRA ROSA;1343,898;6256;4,64;6312;99,64;0,667;15,87;76704812,4;66169223,08;74669;459,58;250,68;Não;Não;0;;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
VERE;4128609;vereense;PAULO ROBERTO WEISSHEIMER;312,744;7932;25,44;8080;99,62;0,72;9,43;78606921,23;67135493,92;76503,8;416,01;316,96;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;0;0;0;0;0;0;0
RIBEIRAO DO PINHAL;4121901;ribeiro-pinhalense;DARTAGNAN CALIXTO FRAIZ;374,754;13060;34,85;13129;100;0,701;13,79;80925224,74;63017578,35;37360,89;200,52;296,00;Não;Não;0;;18ª Regional de Saúde - Cornélio Procópio;Norte;0;0;0;0;0;0;0;0
RENASCENCA;4121604;renascenseano;FABIELI MANFREDI;425,947;6845;16,1;6947;99,76;0,733;-;80988873,35;72234638,91;67212,82;187,94;125,29;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;0;0;0;0;0;0;0
PINHALAO;4119202;pinhalense ou pinhalãoense;LUIZ EDUARDO DE CASTRO VANZELI;220,049;6566;29,76;6698;100;0,697;10,99;59764361,56;53991304,6;38365,93;273,90;313,03;Não;Não;0;;19ª Regional de Saúde - Jacarezinho;Norte;0;0;0;0;0;0;0;0
MARILANDIA DO SUL;4114906;marilandense;WALMIR PERES;384,42;8677;22,57;8750;100;0,691;-;72177029,48;62570640,26;58806,98;266,63;165,06;Não;Sim;1;CAPS I;16ª Regional de Saúde - Apucarana;Norte;0;0;0;0;0;0;0;0
ITAMBARACA;4111001;itambaracaense;AMARILDO TOSTES;207,342;5908;28,49;5766;99,62;0,694;-;53000851,66;53175759,94;47300,82;156,99;149,51;Não;Não;0;;18ª Regional de Saúde - Cornélio Procópio;Norte;0;0;0;0;0;0;0;0
IGUARACU;4110003;iguaraçuense;CLAUDIO APARECIDO BERNIN;164,54;5338;32,35;5777;97,38;0,758;35,71;65270011,27;53918878,3;50048,33;170,58;105,60;Não;Não;0;;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
FIGUEIRA;4107751;figueirense;VALDECIR GARCIA;129,769;8062;62,13;8115;99,63;0,677;-;57263473,48;52505242,71;23775,93;200,78;200,78;Não;Não;0;;19ª Regional de Saúde - Jacarezinho;Norte;0;0;0;0;0;0;0;0
CURIUVA;4107009;curiuvense;CHRISTIANO GIUNTA BORGES;576,263;13647;23,68;13767;99,17;0,656;6,29;103836347,1;92056286,02;24397,6;145,58;263,43;Não;Não;0;;21ª Regional de Saúde - Telêmaco Borba;Leste;0;1;1;0;1;0;1;1
CONGONHINHAS;4106001;congonhinhense;JOSE OLEGARIO RIBEIRO LOPES;535,963;8320;15,52;8447;99,03;0,668;20,41;90078812,81;71258143,86;37201,52;465,74;598,80;Não;Não;0;;18ª Regional de Saúde - Cornélio Procópio;Norte;0;0;0;0;0;0;0;0
SENGES;4126306;sengeano;GERSON NUNES DA SILVA;1438,17;17270;11,98;17151;99,34;0,663;14,71;159394021,1;148397810,3;40007,2;227,12;442,88;Não;Não;0;;3ª Regional de Saúde - Ponta Grossa;Leste;0;1;1;0;1;0;1;1
SAO PEDRO DO IVAI;4125803;ivaiense;RILDO BERNARDES DE CAMARGO;323,213;8690;26,93;8423;99,39;0,717;27,03;82699025,98;69973929,2;52135,59;153,17;153,17;Não;Não;0;;16ª Regional de Saúde - Apucarana;Norte;0;0;0;0;0;0;0;0
SANTO INACIO;4124509;santo-inaciense;GENY VIOLATTO;278,541;6181;22,06;6521;99,22;0,739;11,9;67881666,72;63936408,4;135370,89;249,78;149,87;Não;Não;0;;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
LUPIONOPOLIS;4113809;lupionopolense;JOSÉ CARLOS TIBÉRIO;121,661;4813;39,76;4942;99,51;0,71;-;46270603,44;38827955,14;34250,14;318,88;255,10;Não;Não;0;;17ª Regional de Saúde - Londrina;Norte;0;1;1;1;0;0;1;1
ICARAIMA;4109906;icaraimense;DEVAIR FABRIS;675,24;8991;13,32;9158;100;0,666;18,18;97295316,53;85755431,6;36603,92;212,99;266,24;Não;Não;0;;12ª Regional de Saúde - Umuarama;Noroeste;0;0;0;0;0;0;0;0
BARBOSA FERRAZ;4102505;barbosense;CARLOS ROSA ALVES;536,101;10795;20,04;10465;97,97;0,696;29,41;75370246,08;72347928,49;31695,71;464,90;325,43;Não;Não;0;;11ª Regional de Saúde - Campo Mourão;Noroeste;0;0;0;0;0;0;0;0
AMAPORA;4100905;amaporense;MARCOS MARIN;384,91;4762;12,38;4646;97,91;0,669;-;64368820,88;52208975,89;34418,01;230,55;219,02;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
TUPASSI;4127957;tupãssiense;JOSE CARLOS MARIUSSI;299,093;8077;26,94;8213;98,87;0,73;14,93;79764805,68;65002511,15;64432,01;1430,72;527,11;Não;Não;0;;20ª Regional de Saúde - Toledo;Oeste;0;0;0;0;0;0;0;0
RONCADOR;4122503;roncadorense;MARILIA PEROTTA BENTO GONÇALVES;741,709;11251;15,16;11321;98,96;0,681;21,58;116474527,1;101460748,2;56837,11;127,62;154,49;Não;Não;0;;11ª Regional de Saúde - Campo Mourão;Noroeste;0;0;0;0;0;0;0;0
PLANALTINA DO PARANA;4119707;planaltinense;CELSO MAGGIONI;356,276;4070;11,43;4123;100;0,705;19,61;52358044,68;46457531,43;36741,98;141,38;156,26;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
MARILENA;4115002;marilenense;CELIO LELIS DA MATA;231,349;7253;31,21;7474;99,26;0,681;-;87666049,19;79370076,55;32708,81;326,52;360,89;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
ITAIPULANDIA;4110953;itaipulandiense;LINDOLFO MARTINS RUI;328,207;11485;34,71;12267;100;0,738;20,83;258739896,8;250429604,1;49349,2;179,13;273,40;Não;Não;0;;9ª Regional de Saúde - Foz do Iguaçu;Oeste;0;0;0;0;0;0;0;0
CAMPINA DO SIMAO;4103958;campineiro do simão;ANDRÉ JUNIOR DE PAULA;448,033;3936;8,78;3945;100;0,63;14,29;71912635,06;58860817,96;49573,09;185,15;123,43;Não;Não;0;;5ª Regional de Saúde - Guarapuava;Leste;0;0;0;0;0;0;0;0
URAI;4128401;uraiense;ANGELO TARANTINI FILHO;235,855;10406;43,76;10242;99,28;0,721;22,22;67011173,71;62632347,96;37963,93;138,75;138,75;Não;Não;0;;18ª Regional de Saúde - Cornélio Procópio;Norte;0;0;0;0;0;0;0;0
TUNEIRAS DO OESTE;4127908;tuneirense;GUERINO MENDONÇA DOS SANTOS;705,229;8067;11,54;8028;99,42;0,695;21,28;74994706,51;68466760,17;36881,29;239,88;225,77;Não;Não;0;;13ª Regional de Saúde - Cianorte;Noroeste;0;0;0;0;0;0;0;0
SANTA MARIA DO OESTE;4123857;santa-mariense;OSCAR DELGADO;815,151;9934;11,87;9786;99,13;0,609;8,2;89713913,85;80064507,76;35195,52;160,50;245,47;Não;Sim;1;CAPS I;22ª Regional de Saúde - Ivaiporã;Norte;0;0;0;0;0;0;0;0
PRADO FERREIRA;4120333;prado ferreirense;SILVIO ANTONIO DAMACENO;152,876;3709;24,26;3833;98,86;0,71;-;51295854;45020314,5;56067,67;412,92;412,92;Não;Não;0;;17ª Regional de Saúde - Londrina;Norte;0;0;0;0;0;0;0;0
PEROLA;4118907;perolense;VALDETE CARLOS OLIVEIRA GONCALVES DA CUNHA;236,07;11878;50,29;12493;97,6;0,7;8,26;98262355,76;88264043,82;30647,08;126,43;178,49;Não;Não;0;;12ª Regional de Saúde - Umuarama;Noroeste;0;0;0;0;0;0;0;0
PAULO FRONTIN;4118709;frontinense;IRENEU INACIO ZACHARIAS;363,169;6343;17,46;6385;100;0,708;13,89;70572520,89;58507218,26;74705,21;287,50;186,03;Não;Não;0;;6ª Regional de Saúde - União da Vitória;Leste;0;0;0;0;0;0;0;0
NOVA FATIMA;4117008;fatimense;RENATA MONTENEGRO BALAN XAVIER;283,423;7225;25,49;7083;99,22;0,688;29,41;65707299,32;57585530,38;45319,52;175,31;237,19;Não;Não;0;;18ª Regional de Saúde - Cornélio Procópio;Norte;0;0;0;0;0;0;0;0
JAPIRA;4112306;japirense;HARIEL VIEIRA FOGAÇA;189,291;4972;26,47;5062;98,05;0,696;20;56438286,45;48822447,01;34179,34;729,30;514,80;Não;Não;0;;19ª Regional de Saúde - Jacarezinho;Norte;0;0;0;0;0;0;0;0
ENEAS MARQUES;4107405;enéas-marquense;EDSON LUPATINI;196,238;5999;31,21;6140;100;0,752;14,08;77798038,33;68666097,58;64920,82;505,05;445,63;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;0;0;0;0;0;0;0
ANGULO;4101150;angulense;ALEXANDRE DE SOUSA PROFETA;106,021;3235;30,51;3380;100;0,721;-;55599131,64;44580251,2;55572,79;165,68;155,93;Não;Não;0;;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
SAO JOAO DO CAIUA;4124905;caiuense;STEFAN TOMÉ PAUKA;305,388;5586;18,35;5587;98,9;0,664;-;48393264,19;42558899,19;34310;222,35;152,86;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;2;2;0;2;0;2;2
IRETAMA;4110805;iretamense;SAME SAAB;570,716;10684;18,73;10836;99,5;0,665;7,81;109731976,4;88968470,98;38330,96;105,69;178,36;Não;Não;0;;11ª Regional de Saúde - Campo Mourão;Noroeste;0;1;1;1;0;0;0;0
FLOR DA SERRA DO SUL;4107850;sulflorense;VALMOR FELIPE JUNIOR;256,157;4364;17,07;4315;97,27;0,682;37,74;74870044,55;55936978,74;47286,15;147,75;120,05;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;0;0;0;0;0;0;0
BOM SUCESSO;4103206;bom-sucessense;ROSANA FERREIRA LOPES;321,56;6581;20,39;6675;99,14;0,686;-;72703828,73;67862780,31;33681,51;107,56;161,33;Não;Sim;1;CAPS I;16ª Regional de Saúde - Apucarana;Norte;1;0;1;1;0;0;0;0
SAO PEDRO DO PARANA;4125902;são-pedrense;VANDERLEI CAETANO DE CASTRO;248,865;2661;10,62;2736;100;0,704;-;63654651,86;58560778,6;41823,02;274,57;219,66;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
RAMILANDIA;4121257;ramilandiense;EDSON DOS SANTOS;235,418;4221;17,8;4284;97,19;0,63;-;52735137,03;48684239,23;29989,37;316,79;232,31;Não;Não;0;;9ª Regional de Saúde - Foz do Iguaçu;Oeste;0;0;0;0;0;0;0;0
HONORIO SERPA;4109658;honório serpense;JOÃO CARLOS GARBIN;503,896;4941;9,84;4740;99,41;0,683;-;69105506,54;61953635,35;78227,21;267,76;142,81;Não;Não;0;;7ª Regional de Saúde - Pato Branco;Oeste;0;0;0;0;0;0;0;0
GUAMIRANGA;4108957;guamiranguense;MARCELO LEITE;244,592;7856;32,09;7913;100;0,669;21,28;76015763,45;63158455,19;45451,12;93,16;124,21;Não;Não;0;;4ª Regional de Saúde - Irati;Leste;0;0;0;0;0;0;0;0
GUAIRACA;4108908;guairaçaense;MARCELO ALVES DE OLIVEIRA;496,289;6587;13,34;6786;99,31;0,693;-;52696128,49;46980450,77;61458,48;164,24;186,14;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;1;0;1;1;0;1;0;1
CRUZEIRO DO IGUACU;4106571;cruzeirense;RENI KOVALSKI;161,293;4133;25,53;4120;99,29;0,709;27,78;60958045,84;58364740,09;50000,33;431,16;344,93;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;1;1;1;0;0;1;1
CEU AZUL;4105300;céu-azulense;LAURINDO SPEROTTO;1176,523;11087;9,4;11258;99,09;0,732;16,95;109363557,9;90728832,88;96562,03;298,15;238,52;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;0;0;0;0;0;0;0;0
BRAGANEY;4103354;braganense;VALDIR ZIELINSKI;343,26;4854;14,14;4691;100;0,701;15,63;56120065,16;48854824,17;53771,59;349,32;256,17;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;0;0;0;0;0;0;0;0
SAO TOME;4126108;são-tomeense;JOÃO PAULO TRAVASSOS RADDI;218,623;5232;23,93;5275;99,68;0,725;-;63039046,59;61264105,69;42277,13;233,57;150,15;Não;Não;0;;13ª Regional de Saúde - Cianorte;Noroeste;0;0;0;0;0;0;0;0
SAO JERONIMO DA SERRA;4124707;jeronimense;VENICIUS DJALMA ROSA;824,268;10830;13,15;10853;98,72;0,637;20,69;89036119,93;88643452,31;32253,51;113,36;259,11;Não;Não;0;;18ª Regional de Saúde - Cornélio Procópio;Norte;1;0;1;1;0;1;0;1
NOVA LARANJEIRAS;4117057;nova laranjeirense;FABIO ROBERTO DOS SANTOS;1201,246;12074;9,98;12318;99,4;0,642;18,87;89956678,83;85528618,27;31337,75;172,58;123,27;Não;Não;0;;5ª Regional de Saúde - Guarapuava;Leste;1;0;1;1;0;0;0;0
LOBATO;4113601;lobatense;FABIO CHICAROLI;240,904;4601;19,1;4719;100;0,744;-;62817789,6;54545658,65;72455,61;622,78;266,90;Não;Não;0;;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
LINDOESTE;4113452;lindo-estense;SILVIO DE SOUZA;344,691;5175;14,91;5208;100;0,666;-;61015108,01;56519972,21;48127,01;206,34;176,86;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;0;0;0;0;0;0;0;0
JUSSARA;4113007;jussarense;MOACIR LUIZ PEREIRA VALENTINI;207,013;6690;31,73;6791;98,52;0,718;-;81215429,33;74692136,91;55375,88;427,74;274,98;Não;Não;0;;13ª Regional de Saúde - Cianorte;Noroeste;0;0;0;0;0;0;0;0
JURANDA;4112959;jurandense;JOELMA DAMASCENO DEMENECK;354,522;7771;21,93;7906;99,56;0,708;-;67031534,96;61640503,66;63966,87;251,57;269,54;Não;Não;0;;11ª Regional de Saúde - Campo Mourão;Noroeste;0;0;0;0;0;0;0;0
GRANDES RIOS;4108700;grande-riense;WILLIAM JOSÉ GONÇALVES;311,512;5641;17,95;5466;97,03;0,658;-;63170933,87;56863135,39;31475,87;270,95;116,12;Não;Não;0;;16ª Regional de Saúde - Apucarana;Norte;0;1;1;1;0;0;0;0
FOZ DO JORDAO;4108452;fozjordense;FRANCISCO CLEI DA SILVA;230,716;4926;20,93;4863;97,49;0,645;-;62032229,16;54902651,66;38120,67;412,37;353,46;Não;Não;0;;5ª Regional de Saúde - Guarapuava;Leste;0;0;0;0;0;0;0;0
FLORAI;4107801;floraiense;EDNA DE LOURDES CARPINE CONTIN;190,812;4792;25,07;4789;100;0,745;-;54747414,32;45202173,21;64824,8;196,33;154,26;Não;Não;0;;15ª Regional de Saúde - Maringá;Noroeste;0;1;1;1;0;0;0;0
FERNANDES PINHEIRO;4107736;fernandespinheirense;OZIEL NEIVERT;405,489;6255;15,39;6420;97,48;0,645;-;83999556,8;71058599,95;51786,1;241,92;328,32;Não;Não;0;;4ª Regional de Saúde - Irati;Leste;0;0;0;0;0;0;0;0
FENIX;4107702;fenexense;EURIPEDES MOLINA TASCA JUNIOR;232,209;4492;19,19;4469;98,48;0,716;-;45387187;40824310,49;54234,99;243,27;191,14;Não;Não;0;;11ª Regional de Saúde - Campo Mourão;Noroeste;0;0;0;0;0;0;0;0
DOURADINA;4107256;douradinense;OBERDAM JOSÉ DE OLIVEIRA;420,525;9161;21,78;9737;96,95;0,724;8,55;81585713,83;76841612,34;93783,39;140,22;310,50;Não;Não;0;;12ª Regional de Saúde - Umuarama;Noroeste;0;0;0;0;0;0;0;0
CORONEL DOMINGOS SOARES;4106456;domingosoarense;MARIA ANTONIETA DE ARAUJO ALMEIDA;1511,972;5649;3,63;5342;98,77;0,6;28,17;76956328,13;67569619,02;58230,22;373,23;159,96;Não;Não;0;;7ª Regional de Saúde - Pato Branco;Oeste;0;0;0;0;0;0;0;0
QUINTA DO SOL;4121109;quinta-solense;LEONARDO LAZZARETTI ROMERO;326,137;5001;15,33;5047;100;0,715;-;56936178,75;51194063,48;62978,03;267,99;185,53;Não;Não;0;;11ª Regional de Saúde - Campo Mourão;Noroeste;0;0;0;0;0;0;0;0
PORTO VITORIA;4120309;porto-vitoriense;FABIANO JOSÉ GLAAB;210,236;3562;16,72;3487;100;0,685;-;54783124,13;42811476,08;27608,39;314,16;338,33;Não;Não;0;;6ª Regional de Saúde - União da Vitória;Leste;0;0;0;0;0;0;0;0
PORTO RICO;4120200;porto-riquense;VALTER BATISTA DOS SANTOS;219,242;3182;14,62;3410;100;0,735;19,61;80743344,9;75048530,06;48076,83;498,85;306,98;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
PORTO AMAZONAS;4120101;porto-amazonense;ELIAS JOCID GOMES DA COSTA;186,581;4098;21,96;4046;100;0,7;-;54098591,74;44649379,59;95573,82;319,41;171,99;Não;Não;0;;3ª Regional de Saúde - Ponta Grossa;Leste;0;0;0;0;0;0;0;0
PATO BRAGADO;4118451;pato bragadense;JOHN JEFERSON WEBER NODARI;136,483;5733;42,28;6060;99,16;0,747;23,81;108990065,5;96385217,14;47051,07;403,60;248,37;Não;Não;0;;20ª Regional de Saúde - Toledo;Oeste;0;0;0;0;0;0;0;0
PARANAPOEMA;4118303;paranapoemense;SIDNEI FRAZATTO;175,875;2398;13,63;2328;99,32;0,709;-;45330229,71;40789446,72;37022,83;435,95;201,21;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
NOVA TEBAS;4117271;nova-tebense;PEDRO LOURENÇO;545,662;6848;12,55;6818;99,62;0,651;-;82945401,4;74215316,62;34638,13;167,94;155,02;Não;Não;0;;22ª Regional de Saúde - Ivaiporã;Norte;0;0;0;0;0;0;0;0
MARIPA;4115358;maripaense;RODRIGO ANDRE SCHANOSKI;283,794;6555;23,1;6878;97,67;0,758;10,1;80268202,94;67377935,42;81721,35;647,41;149,40;Não;Não;0;;20ª Regional de Saúde - Toledo;Oeste;0;0;0;0;0;0;0;0
GUARAQUECABA;4109500;guaraqueçabano;ALESSANDRO CARNEIRO SOARES TRUCHINSKI;2011,256;7430;3,69;7418;98,38;0,587;21,74;205798467,2;156967176,5;19660,96;123,81;161,90;Não;Não;0;;1ª Regional de Saúde - Paranaguá;Leste;0;0;0;0;0;0;0;0
FORMOSA DO OESTE;4108205;formosense-do-oeste;ORIVALDO MUNICELLI;275,651;7635;27,67;7769;100;0,723;-;71201425,55;61175166,34;53117,03;88,88;136,74;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;0;0;0;0;0;0;0;0
CRUZEIRO DO SUL;4106704;cruzeirense-do-sul;MARCOS CÉSAR SUGIGAN;259,115;4494;17,34;4539;100;0,713;-;56143826,4;49283075,43;62589,03;376,70;289,77;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
SULINA;4126652;sulinense;GILBERTO JOÃO ROSSI;170,759;3440;20,15;3501;99,19;0,693;-;56249361,07;50826062,65;55517,17;552,74;92,12;Não;Não;0;;7ª Regional de Saúde - Pato Branco;Oeste;0;0;0;0;0;0;0;0
